vn5wn0cf0cn0st300500p1:5000,Average,Median,Average runtime,vn5wn0cf0cn0st300500p1_0,vn5wn0cf0cn0st300500p1_1,vn5wn0cf0cn0st300500p1_2,vn5wn0cf0cn0st300500p1_3,vn5wn0cf0cn0st300500p1_4,vn5wn0cf0cn0st300500p1_5,vn5wn0cf0cn0st300500p1_6,vn5wn0cf0cn0st300500p1_7,vn5wn0cf0cn0st300500p1_8,vn5wn0cf0cn0st300500p1_9,vn5wn0cf0cn0st300500p1_10,vn5wn0cf0cn0st300500p1_11,vn5wn0cf0cn0st300500p1_12,vn5wn0cf0cn0st300500p1_13,vn5wn0cf0cn0st300500p1_14,vn5wn0cf0cn0st300500p1_15,vn5wn0cf0cn0st300500p1_16,vn5wn0cf0cn0st300500p1_17,vn5wn0cf0cn0st300500p1_18,vn5wn0cf0cn0st300500p1_19,vn5wn0cf0cn0st300500p1_20,vn5wn0cf0cn0st300500p1_21,vn5wn0cf0cn0st300500p1_22,vn5wn0cf0cn0st300500p1_23,vn5wn0cf0cn0st300500p1_24,vn5wn0cf0cn0st300500p1_25,vn5wn0cf0cn0st300500p1_26,vn5wn0cf0cn0st300500p1_27,vn5wn0cf0cn0st300500p1_28,vn5wn0cf0cn0st300500p1_29
Entropy,,,,0.8277293767706428,0.8277293767706428,0.8277293767706428,0.6554587535412855,0.8277293767706428,1.0,0.8277293767706428,1.0,1.0,1.0,1.0,0.6554587535412855,0.5904362833084089,0.8277293767706428,1.0,1.0,0.6554587535412855,1.0,1.0,0.8277293767706428,0.8277293767706428,1.0,0.8277293767706428,0.8277293767706428,1.0,0.6554587535412855,0.5904362833084089,1.0,0.6554587535412855,0.8277293767706428
p_sd,,,,0.01959591794226542,0.026532998322843206,0.025298221281347056,0.02039607805437114,0.023323807579381222,0.027129319932501075,0.029933259094191537,0.023999999999999997,0.026532998322843206,0.009797958971132694,0.03577708763999664,0.027129319932501096,0.025298221281347056,0.029933259094191533,0.027129319932501096,0.00979795897113272,0.024000000000000007,0.016000000000000014,0.035777087639996645,0.03249615361854385,0.029393876913398148,0.028284271247461912,0.023323807579381205,0.027129319932501096,0.019595917942265416,0.029393876913398148,0.027129319932501086,0.028284271247461912,0.032,0.019595917942265426
st_sd,,,,48.744230427815765,64.18722614352485,41.182520563948,66.15134163416491,34.40930106817051,46.3033476111609,51.22499389946279,49.63869458396343,46.216880033165374,30.983866769659336,48.0,36.55133376499413,16.0,46.04345773288535,63.43500610861482,41.47288270665544,40.19950248448356,46.647615158762406,37.094473981982816,43.08131845707603,63.118935352238,41.66533331199932,64.68384651518491,36.11094017053558,44.98888751680797,74.72616676907762,62.928530890209096,40.29888335921977,73.10266752998827,24.166091947189145
k_step_v2 -a:k 1,651.9040000000002,601.3499999999999,53,283.71,809.48,646.87,628.85,494.23999999999995,602.8199999999999,383.44,511.08000000000004,1596.73,398.71000000000004,1026.9,546.88,460.73,440.08000000000004,554.73,667.86,702.71,1134.2099999999998,560.6600000000001,428.88,513.22,622.03,738.9200000000001,676.4300000000001,507.92,902.9200000000001,515.24,754.59,846.4,599.8799999999999
k_step_v2 -a:k 2,916.899,834.0949999999999,63,1045.57,704.34,829.5899999999999,973.0199999999999,625.1099999999999,529.73,633.49,921.27,2388.06,1286.3400000000001,1287.1100000000001,730.5500000000001,997.28,690.47,877.35,1322.5,844.4200000000001,1379.73,807.2600000000001,572.88,692.6800000000001,1365.71,953.26,786.6500000000001,838.5999999999999,914.0,465.77,721.25,577.01,745.97
k_step_v2 -a:k 3,1239.8526666666667,1191.885,95,1411.83,1015.45,1089.24,1316.79,1011.02,1234.2199999999998,1547.2600000000002,1052.8200000000002,950.69,1197.56,2120.2200000000003,1254.24,1287.43,1356.8899999999999,1139.26,1814.4099999999999,1158.4199999999998,2138.42,971.3000000000002,1627.29,586.9300000000001,1105.87,1186.21,1569.33,1046.08,1032.03,1437.1299999999999,1301.87,481.46000000000004,753.9100000000001
all_in_cluster -a:maxd 120 -a:minp 2,1287.6866666666667,1257.405,61,902.27,1337.87,1253.5,1531.67,913.3599999999999,1754.96,1166.8,1479.03,2171.37,1225.94,1538.5500000000002,1197.35,1088.35,929.08,1226.8200000000002,1548.35,1376.16,1900.69,1299.3799999999999,1143.8999999999999,1261.31,1530.7,1012.7,1518.71,788.1500000000001,1284.83,1042.9299999999998,1406.3200000000002,911.17,888.38
greedy_priority,520.3763333333334,457.92,95,279.8,693.21,558.8,638.37,369.28,502.13,408.61,443.67,1153.6599999999999,357.16,505.4200000000001,376.22,388.45000000000005,307.72,633.0899999999999,691.5,792.8,722.52,647.6400000000001,311.82000000000005,410.86,751.2599999999999,409.96,466.57,403.02000000000004,449.27000000000004,687.0799999999999,614.21,284.4,352.78999999999996
gravitational_search,517.4503333333333,470.555,343,279.8,564.53,558.8,598.3299999999999,369.28,502.13,344.95000000000005,443.67,1578.4099999999999,357.16,505.4200000000001,376.22,474.54,279.63,514.98,728.24,792.8,722.52,435.71000000000004,277.69000000000005,499.0,751.2599999999999,409.96,466.57,403.02000000000004,449.27000000000004,574.66,614.21,228.01000000000002,422.74
onion_search_hamilton -a:cnum 2,2.385,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion_search_hamilton -a:cnum 4,2.65,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion_search_heuristic -a:cnum 2,2.385,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
