vn10wn3cf0cn0st300500p1:5000,Average,Median,Average runtime,vn10wn3cf0cn0st300500p1_0,vn10wn3cf0cn0st300500p1_1,vn10wn3cf0cn0st300500p1_2,vn10wn3cf0cn0st300500p1_3,vn10wn3cf0cn0st300500p1_4,vn10wn3cf0cn0st300500p1_5,vn10wn3cf0cn0st300500p1_6,vn10wn3cf0cn0st300500p1_7,vn10wn3cf0cn0st300500p1_8,vn10wn3cf0cn0st300500p1_9,vn10wn3cf0cn0st300500p1_10,vn10wn3cf0cn0st300500p1_11,vn10wn3cf0cn0st300500p1_12,vn10wn3cf0cn0st300500p1_13,vn10wn3cf0cn0st300500p1_14,vn10wn3cf0cn0st300500p1_15,vn10wn3cf0cn0st300500p1_16,vn10wn3cf0cn0st300500p1_17,vn10wn3cf0cn0st300500p1_18,vn10wn3cf0cn0st300500p1_19,vn10wn3cf0cn0st300500p1_20,vn10wn3cf0cn0st300500p1_21,vn10wn3cf0cn0st300500p1_22,vn10wn3cf0cn0st300500p1_23,vn10wn3cf0cn0st300500p1_24,vn10wn3cf0cn0st300500p1_25,vn10wn3cf0cn0st300500p1_26,vn10wn3cf0cn0st300500p1_27,vn10wn3cf0cn0st300500p1_28,vn10wn3cf0cn0st300500p1_29
Entropy,,,,0.6762456261857125,0.759176003468815,0.8568636235841012,0.8568636235841012,0.8568636235841012,0.7966576244513051,0.7966576244513051,0.8795880017344074,0.8795880017344074,0.5903089986991943,0.8193820026016112,0.8795880017344074,0.759176003468815,0.8795880017344074,0.759176003468815,0.759176003468815,0.6989700043360187,0.759176003468815,0.6989700043360187,0.8795880017344074,0.7966576244513051,0.6387640052032225,0.7364516253185087,0.8795880017344074,0.8568636235841012,0.796657624451305,0.8568636235841013,0.7966576244513051,0.6387640052032225,0.9397940008672037
p_sd,,,,0.0249799919935936,0.032496153618543855,0.02856571371417141,0.025377155080899043,0.02856571371417141,0.021908902300206652,0.020880613017821095,0.020000000000000018,0.028565713714171416,0.03464101615137756,0.028354893757515667,0.032249030993194205,0.02200000000000001,0.018000000000000016,0.025298221281347046,0.020880613017821098,0.02441311123146742,0.031048349392520058,0.024083189157584593,0.025298221281347046,0.021540659228538032,0.02973213749463702,0.027129319932501075,0.02569046515733027,0.028354893757515657,0.032802438933713464,0.038000000000000006,0.030724582991474438,0.027129319932501075,0.029732137494637018
st_sd,,,,65.03076195155643,66.09841147864296,55.68662316930342,54.120236510939236,54.08326913195984,61.326992425847855,47.843494855622744,52.73518749374084,55.09990925582364,57.96550698475775,50.83306010855534,62.960304954788775,41.773197148410844,67.37952211169207,65.11528238439882,46.2709412050371,77.46612162745726,56.824290580701486,53.665631459994955,48.25971404805462,37.68288736283355,48.12483766206386,56.57738063926254,50.83306010855534,47.15930449020638,41.52107898405339,47.0,49.889878733065686,60.0,57.175169435691224
k_step_v2 -a:k 1,8925.881,9091.244999999999,171,11790.68,9787.27,8144.97,6677.960000000001,9340.39,9691.059999999998,7576.29,5403.38,9932.17,11531.460000000001,11393.44,8118.879999999999,9636.17,8858.72,6992.33,11110.68,9015.42,9705.67,10282.8,6234.709999999999,10579.02,8751.22,5297.78,8758.7,9167.07,10125.47,8057.99,7981.13,10512.62,7320.9800000000005
k_step_v2 -a:k 2,7362.345666666666,7150.81,292,10540.400000000001,7924.71,9439.88,6506.22,8359.720000000001,5580.539999999999,5324.53,6432.65,8643.220000000001,10423.44,9081.090000000002,5797.570000000001,4694.2300000000005,6737.0599999999995,5675.09,10163.609999999999,8180.18,6993.700000000001,7307.92,6066.48,9424.64,6335.16,3416.8900000000003,6260.759999999999,8742.82,9021.039999999999,5861.9,5979.290000000001,8542.240000000002,7413.389999999999
k_step_v2 -a:k 3,6394.312333333334,6002.88,1100,11472.439999999999,6856.6900000000005,7302.740000000001,6625.0199999999995,5525.099999999999,5937.290000000001,4865.120000000001,4758.22,6881.57,11819.119999999999,6708.34,5844.58,6068.469999999999,6456.2,6294.1100000000015,8926.529999999999,7712.9,6364.1900000000005,4455.639999999999,5596.009999999999,5582.370000000001,5563.169999999999,4213.1,4988.08,5884.530000000001,7229.02,4438.889999999999,5806.35,6075.660000000001,5577.92
all_in_cluster -a:maxd 120 -a:minp 2,9819.720000000001,9985.494999999999,141,15267.5,10154.74,10275.130000000001,10894.68,8496.800000000001,9907.929999999998,9352.449999999999,10559.209999999997,13009.82,15080.799999999997,11212.109999999999,12209.04,8329.28,8287.09,6126.599999999999,10395.300000000001,14234.98,9225.68,10063.06,8244.71,10924.64,5495.87,3578.99,8435.16,7765.17,10933.41,10558.6,9628.26,6101.25,9843.339999999998
greedy_priority,14151.014666666666,14272.665,163,17304.81,12989.1,15235.46,13451.349999999999,13726.19,10935.64,13072.34,14003.65,16322.7,17346.56,15478.94,14995.11,15377.27,14754.23,13556.29,15329.359999999999,13910.65,14682.889999999998,13340.83,11026.69,15101.65,14541.680000000002,9917.289999999999,13945.23,15211.880000000001,15342.63,13922.8,12517.29,15642.26,11547.669999999998
gravitational_search,7044.875,7188.125,925,8526.28,8403.3,8885.33,7150.05,5744.009999999999,5550.99,4422.17,8302.88,8466.720000000001,7867.09,8328.849999999999,6435.95,4840.069999999999,7718.960000000001,6088.259999999999,7901.29,8765.710000000001,9022.24,5614.99,6252.24,4306.360000000001,7000.76,4710.870000000001,6525.28,8514.92,8676.350000000002,5859.460000000001,7226.2,7441.3099999999995,6797.36
onion_search_hamilton -a:cnum 2,5266.040666666668,5589.235,146,7019.490000000001,6200.11,4749.0,5707.7300000000005,7894.970000000001,6328.84,2986.1,5158.500000000001,7326.5,5685.65,7085.11,5492.82,4384.4800000000005,2896.5699999999997,6488.820000000001,6731.539999999999,6540.919999999999,6617.390000000001,4412.06,3086.14,8225.93,2633.65,1225.6799999999998,3589.58,6704.360000000001,3800.42,4825.170000000001,4598.030000000001,3242.93,6342.7300000000005
onion_search_hamilton -a:cnum 4,5213.261666666668,5514.975,153,8262.68,5354.77,4695.55,6466.82,6009.639999999999,4622.7,6366.6,3154.74,6045.84,5380.71,7663.889999999999,6274.0599999999995,2473.96,3588.6,5717.16,6816.139999999999,4485.650000000001,6437.400000000001,6610.57,6482.61,4007.7999999999993,3854.4800000000005,2808.93,2547.01,7955.4000000000015,5649.24,3572.23,3937.14,3384.14,5771.389999999999
onion_search_heuristic -a:cnum 2,5358.730333333332,5422.075000000001,144,7019.490000000001,7732.650000000001,6508.829999999999,8049.629999999999,5924.719999999999,6328.84,3979.6899999999996,5158.500000000001,7326.5,5685.65,7747.77,5025.719999999999,4384.4800000000005,2896.5699999999997,7128.869999999999,8552.31,7846.450000000001,6159.33,4352.42,3086.14,4306.21,2633.65,2943.6000000000004,3589.58,6704.360000000001,3703.7499999999995,3528.1000000000004,3358.76,3242.93,5856.409999999999
